dataset,fault_type,detector,auc_pr,no_skill_baseline,auc_pr_ratio,auc_roc,n_eval_cells,n_positive_cells
BGL,stall,count_vector_pca,5.7005780346107834e-05,6.691344984239493e-05,0.8519330639860417,0.4066205976962409,2929157,196
BGL,stall,z_score_threshold,6.966712289243722e-05,6.691344984239493e-05,1.0411527586236873,0.5366595345375973,2929157,196
BGL,stall,log_ratio_threshold,6.075704614896654e-05,6.691344984239493e-05,0.907994525645757,0.4652721405582501,2929157,196
BGL,stall,isolation_forest_counts,7.387579544929394e-05,6.691344984239493e-05,1.1040500171983034,0.4670865986684183,2929157,196
BGL,burst,count_vector_pca,0.00021364950048175484,0.000266345322173692,0.8021522538414525,0.33126957906779364,2928529,780
BGL,burst,z_score_threshold,0.00021175867242913726,0.000266345322173692,0.7950530938592678,0.4284184024514992,2928529,780
BGL,burst,log_ratio_threshold,0.004287573949404205,0.000266345322173692,16.09780083394198,0.6732656854052335,2928529,780
BGL,burst,isolation_forest_counts,0.00022811380542047364,0.000266345322173692,0.8564588390695054,0.4083149499968957,2928529,780
Thunderbird,stall,count_vector_pca,0.0001116817748794781,7.012359283236705e-05,1.5926419393036146,0.6131560227703272,2795065,196
Thunderbird,stall,z_score_threshold,0.0001011371126258792,7.012359283236705e-05,1.4422694066410868,0.5871137567683158,2795065,196
Thunderbird,stall,log_ratio_threshold,8.189333129157952e-05,7.012359283236705e-05,1.1678427756454015,0.5197811359578819,2795065,196
Thunderbird,stall,isolation_forest_counts,0.00022953910165586874,7.012359283236705e-05,3.273350556988575,0.5450300859634317,2795065,196
Thunderbird,burst,count_vector_pca,0.00024289931229084006,0.00018928564527798513,1.2832421176688693,0.5693897240955134,2794718,529
Thunderbird,burst,z_score_threshold,0.000151755281875813,0.00018928564527798513,0.8017263097417927,0.29359187077302307,2794718,529
Thunderbird,burst,log_ratio_threshold,0.0003233292640009319,0.00018928564527798513,1.7081552250097474,0.6373643069737776,2794718,529
Thunderbird,burst,isolation_forest_counts,0.0009889435590566833,0.00018928564527798513,5.224609386540219,0.5744513589603158,2794718,529
