dataset,fault_type,scheme,scheme_kind,scheme_size,detector,n_common_windows,max_abs_score_diff,n_differing_windows,n_grid_cell_reassignments,n_common_rows_for_grid_check
thunderbird,stall,fixed_time_30,fixed_time,30,count_vector_pca,2979184,617.4043579101562,6819,150182,10000000
thunderbird,stall,fixed_time_30,fixed_time,30,isolation_forest_counts,2979184,0.18918998316441343,6803,150182,10000000
thunderbird,burst,fixed_time_30,fixed_time,30,count_vector_pca,3006197,490.4488220214844,3364,63311,10000000
thunderbird,burst,fixed_time_30,fixed_time,30,isolation_forest_counts,3006197,0.21113925487090307,3352,63311,10000000
thunderbird,stall,fixed_time_60,fixed_time,60,count_vector_pca,2755997,669.7241821289062,8481,125743,10000000
thunderbird,stall,fixed_time_60,fixed_time,60,isolation_forest_counts,2755997,0.2712759313119657,8449,125743,10000000
thunderbird,burst,fixed_time_60,fixed_time,60,count_vector_pca,2773059,671.0426025390625,4278,62116,10000000
thunderbird,burst,fixed_time_60,fixed_time,60,isolation_forest_counts,2773059,0.2524888864024615,4266,62116,10000000
thunderbird,stall,fixed_time_120,fixed_time,120,count_vector_pca,2547760,919.5689086914062,8639,100048,10000000
thunderbird,stall,fixed_time_120,fixed_time,120,isolation_forest_counts,2547760,0.23314423778637527,8589,100048,10000000
thunderbird,burst,fixed_time_120,fixed_time,120,count_vector_pca,2557398,766.8958740234375,4796,61355,10000000
thunderbird,burst,fixed_time_120,fixed_time,120,isolation_forest_counts,2557398,0.28775749425990393,4790,61355,10000000
thunderbird,stall,fixed_count_20,fixed_count,20,count_vector_pca,502230,0.0,0,0,10000000
thunderbird,stall,fixed_count_20,fixed_count,20,isolation_forest_counts,502230,0.0,0,0,10000000
thunderbird,burst,fixed_count_20,fixed_count,20,count_vector_pca,502230,0.0,0,0,10000000
thunderbird,burst,fixed_count_20,fixed_count,20,isolation_forest_counts,502230,0.0,0,0,10000000
thunderbird,stall,fixed_count_50,fixed_count,50,count_vector_pca,202338,0.0,0,0,10000000
thunderbird,stall,fixed_count_50,fixed_count,50,isolation_forest_counts,202338,0.0,0,0,10000000
thunderbird,burst,fixed_count_50,fixed_count,50,count_vector_pca,202338,0.0,0,0,10000000
thunderbird,burst,fixed_count_50,fixed_count,50,isolation_forest_counts,202338,0.0,0,0,10000000
thunderbird,stall,fixed_count_100,fixed_count,100,count_vector_pca,102310,0.0,0,0,10000000
thunderbird,stall,fixed_count_100,fixed_count,100,isolation_forest_counts,102310,0.0,0,0,10000000
thunderbird,burst,fixed_count_100,fixed_count,100,count_vector_pca,102310,0.0,0,0,10000000
thunderbird,burst,fixed_count_100,fixed_count,100,isolation_forest_counts,102310,0.0,0,0,10000000
