dataset,fault_type,seed,detector,auc_roc,auc_pr,no_skill_baseline,auc_pr_ratio,n_eval_cells,n_positive_cells
BGL,stall,42,count_vector_pca,0.9622163516995492,0.0010149668478059773,6.740815638692282e-05,15.057033187201672,178020,12
BGL,stall,42,isolation_forest_counts,0.8774776508171916,0.001913027553475271,6.740815638692282e-05,28.37976375580564,178020,12
BGL,stall,42,z_score_threshold,0.9458938175063293,0.0037128257318026388,6.740815638692282e-05,55.07976973129214,178020,12
BGL,stall,42,log_ratio_threshold,0.8186832427007027,0.0004756574599028984,6.740815638692282e-05,7.056378417659498,178020,12
BGL,burst,42,count_vector_pca,0.8623805511081151,0.0010374973502500521,5.6175041429093056e-05,18.4690090804763,178015,10
BGL,burst,42,isolation_forest_counts,0.9757175360242689,0.017578247172187346,5.6175041429093056e-05,312.919167035693,178015,10
BGL,burst,42,z_score_threshold,0.9658206230162074,0.0037226594492614272,5.6175041429093056e-05,66.2689221860273,178015,10
BGL,burst,42,log_ratio_threshold,0.9379466868908177,0.000738088863179754,5.6175041429093056e-05,13.139088897894391,178015,10
Thunderbird,stall,42,count_vector_pca,0.63585695266422,0.0005754522970178312,0.00028114826871855576,2.046792959603423,67580,19
Thunderbird,stall,42,isolation_forest_counts,0.5357275569290598,0.0004387623759718797,0.00028114826871855576,1.5606084930620858,67580,19
Thunderbird,stall,42,z_score_threshold,0.3949362720161663,0.00024559015610621683,0.00028114826871855576,0.8735254078767439,67580,19
Thunderbird,stall,42,log_ratio_threshold,0.6110548050533671,0.0005145588902676904,0.00028114826871855576,1.8302047265416064,67580,19
Thunderbird,burst,42,count_vector_pca,0.20010713033862076,0.00019029636960828322,0.0002221103444191074,0.8567650016750533,67534,15
Thunderbird,burst,42,isolation_forest_counts,0.6107944924144808,0.0003714979985707756,0.0002221103444191074,1.672583055698584,67534,15
Thunderbird,burst,42,z_score_threshold,0.41655484629018,0.0002165088835514058,0.0002221103444191074,0.9747807294507094,67534,15
Thunderbird,burst,42,log_ratio_threshold,0.6731329946632305,0.0005121077412699738,0.0002221103444191074,2.3056456132617607,67534,15
BGL,stall,43,count_vector_pca,0.9637252764032871,0.0009880623700381315,6.179081002134591e-05,15.990442101289833,178020,11
BGL,stall,43,isolation_forest_counts,0.9251682371524627,0.0018441539821910573,6.179081002134591e-05,29.845117446332004,178020,11
BGL,stall,43,z_score_threshold,0.9413936680423207,0.008231082840224016,6.179081002134591e-05,133.20885156515268,178020,11
BGL,stall,43,log_ratio_threshold,0.8660792942542741,0.0011961595446964674,6.179081002134591e-05,19.358211104260466,178020,11
BGL,burst,43,count_vector_pca,0.9583279632680929,0.0012458529529528264,9.549542464568388e-05,13.046205695982895,178019,17
BGL,burst,43,isolation_forest_counts,0.9425867323367815,0.006953214293272485,9.549542464568388e-05,72.81201501612203,178019,17
BGL,burst,43,z_score_threshold,0.9918900448573942,0.012125595780778669,9.549542464568388e-05,126.975672664614,178019,17
BGL,burst,43,log_ratio_threshold,0.961964075750636,0.0020195014500221952,9.549542464568388e-05,21.147625213617715,178019,17
Thunderbird,stall,43,count_vector_pca,0.7441186862707374,0.0006135922861545301,0.00023673191590098687,2.5919288652703893,67587,16
Thunderbird,stall,43,isolation_forest_counts,0.4540293728078614,0.0002604716112298463,0.00023673191590098687,1.1002809242619764,67587,16
Thunderbird,stall,43,z_score_threshold,0.5642643478711282,0.0002777168515546134,0.00023673191590098687,1.1731280528763535,67587,16
Thunderbird,stall,43,log_ratio_threshold,0.7177145151026327,0.0005080297775048281,0.00023673191590098687,2.146013035763676,67587,16
Thunderbird,burst,43,count_vector_pca,0.31768126675652864,0.0003050402825262634,0.0003701729447998105,0.824048020827749,67536,25
Thunderbird,burst,43,isolation_forest_counts,0.6894891202915081,0.0006786576357814384,0.0003701729447998105,1.833352883605409,67536,25
Thunderbird,burst,43,z_score_threshold,0.45613248211402585,0.00035140700476778624,0.0003701729447998105,0.9493049389598884,67536,25
Thunderbird,burst,43,log_ratio_threshold,0.6223791678393151,0.0006960753142551949,0.0003701729447998105,1.8804056969415537,67536,25
