dataset,fault_type,scheme,scheme_kind,scheme_size,detector,n_common_windows,max_abs_score_diff,n_differing_windows,n_grid_cell_reassignments,n_common_rows_for_grid_check,status
bgl,stall,fixed_time_30,fixed_time,30,count_vector_pca,2987672,12.885309219360352,291,5999,4747963,complete
bgl,stall,fixed_time_30,fixed_time,30,isolation_forest_counts,2987672,0.1449344968740474,244,5999,4747963,complete
bgl,burst,fixed_time_30,fixed_time,30,count_vector_pca,2986350,347.9970703125,429,9473,4747963,complete
bgl,burst,fixed_time_30,fixed_time,30,isolation_forest_counts,2986350,0.232598864540193,341,9473,4747963,complete
bgl,stall,fixed_time_60,fixed_time,60,count_vector_pca,2926421,12.911945343017578,280,5546,4747963,complete
bgl,stall,fixed_time_60,fixed_time,60,isolation_forest_counts,2926421,0.165087639984263,245,5546,4747963,complete
bgl,burst,fixed_time_60,fixed_time,60,count_vector_pca,2925530,23.78907585144043,554,9049,4747963,complete
bgl,burst,fixed_time_60,fixed_time,60,isolation_forest_counts,2925530,0.2811425987101959,517,9049,4747963,complete
bgl,stall,fixed_time_120,fixed_time,120,count_vector_pca,2778934,12.899938583374023,290,5245,4747963,complete
bgl,stall,fixed_time_120,fixed_time,120,isolation_forest_counts,2778934,0.1702127768156682,250,5245,4747963,complete
bgl,burst,fixed_time_120,fixed_time,120,count_vector_pca,2778319,26.594606399536133,502,8474,4747963,complete
bgl,burst,fixed_time_120,fixed_time,120,isolation_forest_counts,2778319,0.3456773514399967,475,8474,4747963,complete
bgl,stall,fixed_count_20,fixed_count,20,count_vector_pca,274174,0.0,0,0,4747963,complete
bgl,stall,fixed_count_20,fixed_count,20,isolation_forest_counts,274174,0.0,0,0,4747963,complete
bgl,burst,fixed_count_20,fixed_count,20,count_vector_pca,274174,0.0,0,0,4747963,complete
bgl,burst,fixed_count_20,fixed_count,20,isolation_forest_counts,274174,0.0,0,0,4747963,complete
bgl,stall,fixed_count_50,fixed_count,50,count_vector_pca,139891,0.0,0,0,4747963,complete
bgl,stall,fixed_count_50,fixed_count,50,isolation_forest_counts,139891,0.0,0,0,4747963,complete
bgl,burst,fixed_count_50,fixed_count,50,count_vector_pca,139891,0.0,0,0,4747963,complete
bgl,burst,fixed_count_50,fixed_count,50,isolation_forest_counts,139891,0.0,0,0,4747963,complete
bgl,stall,fixed_count_100,fixed_count,100,count_vector_pca,92959,0.0,0,0,4747963,complete
bgl,stall,fixed_count_100,fixed_count,100,isolation_forest_counts,92959,0.0,0,0,4747963,complete
bgl,burst,fixed_count_100,fixed_count,100,count_vector_pca,92959,0.0,0,0,4747963,complete
bgl,burst,fixed_count_100,fixed_count,100,isolation_forest_counts,92959,0.0,0,0,4747963,complete
thunderbird,stall,fixed_count_20,fixed_count,20,count_vector_pca,502230,0.0,0,0,10000000,complete
thunderbird,stall,fixed_count_20,fixed_count,20,isolation_forest_counts,502230,0.0,0,0,10000000,complete
thunderbird,burst,fixed_count_20,fixed_count,20,count_vector_pca,502230,0.0,0,0,10000000,complete
thunderbird,burst,fixed_count_20,fixed_count,20,isolation_forest_counts,502230,0.0,0,0,10000000,complete
thunderbird,stall,fixed_count_50,fixed_count,50,count_vector_pca,202338,0.0,0,0,10000000,complete
thunderbird,stall,fixed_count_50,fixed_count,50,isolation_forest_counts,202338,0.0,0,0,10000000,complete
thunderbird,burst,fixed_count_50,fixed_count,50,count_vector_pca,202338,0.0,0,0,10000000,complete
thunderbird,burst,fixed_count_50,fixed_count,50,isolation_forest_counts,202338,0.0,0,0,10000000,complete
thunderbird,stall,fixed_count_100,fixed_count,100,count_vector_pca,102310,0.0,0,0,10000000,complete
thunderbird,stall,fixed_count_100,fixed_count,100,isolation_forest_counts,102310,0.0,0,0,10000000,complete
thunderbird,burst,fixed_count_100,fixed_count,100,count_vector_pca,102310,0.0,0,0,10000000,complete
thunderbird,burst,fixed_count_100,fixed_count,100,isolation_forest_counts,102310,0.0,0,0,10000000,complete
thunderbird,stall,fixed_time_30,fixed_time,30,count_vector_pca,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,stall,fixed_time_30,fixed_time,30,isolation_forest_counts,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,burst,fixed_time_30,fixed_time,30,count_vector_pca,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,burst,fixed_time_30,fixed_time,30,isolation_forest_counts,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,stall,fixed_time_60,fixed_time,60,count_vector_pca,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,stall,fixed_time_60,fixed_time,60,isolation_forest_counts,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,burst,fixed_time_60,fixed_time,60,count_vector_pca,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,burst,fixed_time_60,fixed_time,60,isolation_forest_counts,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,stall,fixed_time_120,fixed_time,120,count_vector_pca,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,stall,fixed_time_120,fixed_time,120,isolation_forest_counts,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,burst,fixed_time_120,fixed_time,120,count_vector_pca,PENDING,PENDING,PENDING,PENDING,PENDING,pending
thunderbird,burst,fixed_time_120,fixed_time,120,isolation_forest_counts,PENDING,PENDING,PENDING,PENDING,PENDING,pending
