node,injection_id,n_span_rows,max_abs_z_in_span,breaches_3
R50-M0-N7-C:J17-U11,0,16,1429840.3524695302,True
R62-M0-N9-C:J05-U01,1,26,0.6745089745779628,False
R66-M1-N2-C:J08-U11,2,11,0.6745089276458902,False
R07-M0-N2-C:J04-U11,3,21,89.31741210994724,True
R63-M0-N9-C:J03-U01,4,11,0.6742706840739677,False
R27-M0-N7-C:J03-U11,5,16,0.6489311849126291,False
R63-M0-NE-C:J06-U11,6,11,100.32668840800191,True
R27-M1-N2-C:J07-U11,7,11,0.6101483970220033,False
R67-M1-N7-C:J16-U11,8,16,0.6745086176759226,False
R66-M0-N4-C:J06-U11,9,26,0.6745090575276723,False
R31-M0-N3,10,11,0.7207148770713804,False
R66-M0-NF-C:J10-U11,11,16,0.674508293517189,False
R14-M0-N9-C:J12-U01,12,21,14207.62485830646,True
R27-M1-NE-C:J17-U01,13,16,0.6103261514427976,False
R62-M0-NC-C:J14-U01,14,11,0.6745090586191159,False
R27-M1-NC-C:J09-U01,15,21,11.254982793240108,True
R04-M0-N2-C:J03-U01,16,26,262.72363468407974,True
R72-M1-N3-C:J13-U01,17,16,0.9014396566907013,False
R03-M1-N2-C:J13-U01,18,21,2.721842838813403,False
R02-M1-N1,19,16,942.9524720982671,True
R62-M0-N4-C:J11-U11,20,21,0.6745091797693498,False
R27-M0-N7-C:J04-U11,21,21,0.6316650267596841,False
R66-M0-N5-C:J06-U11,22,21,0.6745089538405353,False
R67-M1-N6-C:J10-U01,23,16,0.6745083742840114,False
R02-M0-N1-C:J02-U11,24,11,0.6481879057240573,False
R66-M1-NE-C:J15-U01,25,26,0.6745082782369792,False
R16-M0-NF-C:J07-U01,26,21,0.9753685086632873,False
R73-M0-ND,27,11,0.6745090356988015,False
R62-M0-N2-C:J14-U01,28,11,0.6745090640763336,False
R27-M1-ND-C:J03-U01,29,16,0.6488962991390412,False
R26-M1-NA-C:J04-U01,30,16,0.6491264384133519,False
R62-M0-N6-C:J09-U11,31,21,0.674509150300374,False
R67-M1-N8-C:J05-U01,32,11,0.6745091786779062,False
R07-M1-NA-C:J02-U01,33,26,503.01498778674187,True
R67-M1-NF-C:J12-U01,34,11,0.6745091481174869,False
R27-M1-N1-C:J03-U01,35,11,0.6425755664818054,False
UNKNOWN_LOCATION,36,16,1.3819832038548583,False
R62-M0-N7-C:J09-U11,37,11,0.674509060802003,False
R26-M1-N7-C:J02-U01,38,26,0.6106067563354566,False
R27-M1-N6-C:J14-U11,39,26,0.6533951709741502,False
R26-M1-N9-C:J03-U01,40,16,0.6490396392638886,False
R26-M1-N9-C:J10-U11,41,16,0.6425105712071969,False
R66-M1-N4-C:J15-U11,42,11,0.6745091459345998,False
R63-M0-N6-C:J16-U11,43,26,10.662483168919984,True
R67-M0-N3-C:J08-U01,44,16,0.6745087028085194,False
R26-M1-N8-C:J06-U01,45,11,13.555509924841529,True
R27-M1-N2-C:J09-U11,46,26,0.6531509803791441,False
R67-M0-NB-C:J14-U01,47,11,0.674509050979011,False
R26-M1-NF-C:J13-U01,48,26,0.6491962963519934,False
R27-M1-N0-C:J04-U01,49,16,0.6530741297202131,False
R62-M0-N5-C:J07-U11,50,26,0.674509186318011,False
R62-M0-NE-C:J07-U01,51,11,0.6745090684421079,False
R66-M0-N4-C:J04-U01,52,26,259.9182844712333,True
R62-M0-NA-C:J12-U11,53,26,0.6745091623062529,False
R04-M1-N4-C:J17-U11,54,21,0.6745527080031233,False
R62-M0-NE-C:J12-U01,55,26,0.6745090673506644,False
R63-M0-N2-C:J03-U11,56,11,0.6741117338757857,False
R67-M0-N6-C:J17-U11,57,16,0.6745090924538659,False
R67-M0-N0-C:J15-U01,58,11,0.6745082793284229,False
R27-M1-N6-C:J11-U11,59,21,0.6427079399120353,False
R27-M1-ND-C:J14-U01,60,16,0.6100136853952987,False
R67-M1-N6-C:J15-U11,61,26,86.19072213233126,True
R05-M0-N4-C:J16-U01,62,21,931.8305927188122,True
R63-M0-N0-C:J14-U01,63,11,0.6741859542199163,False
R16-M0-NE-C:J11-U01,64,26,0.6557521161342503,False
R62-M0-NC-C:J06-U01,65,21,0.6745091513918174,False
R67-M0-N1-C:J08-U11,66,21,0.6745088828967047,False
R03-M1-N3-C:J02-U01,67,26,16973.223407088633,True
R26-M1-N4-C:J02-U01,68,26,11.97484109454534,True
R27-M0-N4-C:J10-U11,69,16,0.6554604116040906,False
R67-M0-NC-C:J10-U01,70,26,0.6745090629848901,False
R26-M1-NC-C:J15-U01,71,21,0.6489265464222602,False
R62-M0-NC-C:J16-U01,72,26,0.6745089549319789,False
R26-M0-NF-C:J05-U11,73,26,0.6108004607835602,False
R27-M0-N3-C:J17-U01,74,16,0.6488115052054504,False
R67-M0-N2-C:J08-U11,75,11,0.6745086831625355,False
R26-M0-N8-C:J06-U01,76,26,0.6316725815895025,False
R27-M1-N6-C:J16-U11,77,26,0.6490943864048131,False
R23-M0-N0-C:J10-U01,78,21,1.907345557925893,False
R67-M1-N9-C:J13-U01,79,26,173.05608476582805,True
R67-M0-N5-C:J09-U11,80,11,0.6745082891514148,False
R13-M1-NF-C:J15-U01,81,11,0.6744882527219855,False
R63-M0-NF-C:J04-U11,82,16,0.6744404308317237,False
R07-M0-NC-C:J04-U11,83,16,19334.60545840777,True
R67-M1-N4-C:J11-U01,84,21,0.6745087224545033,False
R66-M1-N1-C:J03-U11,85,16,0.674508718088729,False
R62-M0-N2-C:J16-U01,86,11,0.6745089320116644,False
R27-M0-N0-C:J06-U11,87,11,0.6490084466759963,False
R53-M0-N4-C:J17-U11,88,11,0.6744715544359299,False
R66-M1-NC-C:J07-U01,89,11,0.6745090651677772,False
R50-M0-N1-C:J09-U11,90,11,837.2481477812404,True
R20-M0-N6,91,21,873303.0554365166,True
R27-M0-NE-C:J06-U01,92,26,0.6424921024561364,False
R27-M1-N6,93,21,1103695.8202462601,True
R10-M1-NA-C:J11-U01,94,16,0.6909404219530851,False
R26-M1-NE-C:J14-U01,95,16,0.6533609732359681,False
R37-M0-NC-C:J12-U01,96,21,0.6800791236437664,False
R25-M1-N7-C:J10-U11,97,21,267.81801852921603,True
R00-M0-NE,98,26,0.7750089048418136,False
R27-M1-N6-C:J05-U11,99,26,0.6490870692443932,False
