node,used_pooled_fallback,median,mad,scale,R
R50-M0-N7-C:J17-U11,False,0.1457385,0.104956,0.15560776559999998,0.9365760085176624
R62-M0-N9-C:J05-U01,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R66-M1-N2-C:J08-U11,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R07-M0-N2-C:J04-U11,False,71.934013,71.922793,106.6327329018,0.6745959804504431
R63-M0-N9-C:J03-U01,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R27-M0-N7-C:J03-U11,False,70.054304,70.028559,103.82434157339999,0.6747387263753961
R63-M0-NE-C:J06-U11,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R27-M1-N2-C:J07-U11,False,70.344701,70.32584800000001,104.2651022448,0.674671577406987
R67-M1-N7-C:J16-U11,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R66-M0-N4-C:J06-U11,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R31-M0-N3,False,0.129519,0.119915,0.17778597899999998,0.7285107674323407
R66-M0-NF-C:J10-U11,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R14-M0-N9-C:J12-U01,False,0.4050705,0.331494,0.49147300439999997,0.8241968457545662
R27-M1-NE-C:J17-U01,False,70.2311875,70.2054195,104.0865549507,0.6747383226706332
R62-M0-NC-C:J14-U01,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R27-M1-NC-C:J09-U01,False,69.786797,3.914443999999989,5.803554674399983,12.024836658787075
R04-M0-N2-C:J03-U01,False,71.795515,71.7838955,106.4268034683,0.6745999378003006
R72-M1-N3-C:J13-U01,False,0.426474,0.318678,0.4724720028,0.90264396085397
R03-M1-N2-C:J13-U01,False,0.280278,0.24785199999999996,0.36746537519999994,0.7627330870220179
R02-M1-N1,False,0.016018499999999998,0.009631999999999998,0.014280403199999996,1.1217120256100332
R62-M0-N4-C:J11-U11,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R27-M0-N7-C:J04-U11,False,70.0297915,70.004084,103.78805493840001,0.6747384517569376
R66-M0-N5-C:J06-U11,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R67-M1-N6-C:J10-U01,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R02-M0-N1-C:J02-U11,False,71.935463,71.909736,106.61337459359999,0.6747320706638461
R66-M1-NE-C:J15-U01,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R16-M0-NF-C:J07-U01,False,0.083329,0.057086,0.08463570359999999,0.9845608467299374
R73-M0-ND,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R62-M0-N2-C:J14-U01,True,617.9976810000001,617.980436,916.2177944136,0.6745095814205753
R27-M1-ND-C:J03-U01,False,70.2146235,70.1960325,104.0726377845,0.6746693943262133
