node,used_pooled_fallback,median,mad,scale,R
bn318,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn504,True,172.0,171.0,253.5246,0.6784351498828911
cn221,False,48.0,48.0,71.1648,0.6744907594765952
an173,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn549,False,1.0,1.0,1.4826,0.6744907594765952
bn1,False,54.0,54.0,80.0604,0.6744907594765952
bn848,True,172.0,171.0,253.5246,0.6784351498828911
bn139,False,82.0,82.0,121.5732,0.6744907594765952
dn646,True,172.0,171.0,253.5246,0.6784351498828911
bn917,True,172.0,171.0,253.5246,0.6784351498828911
bn250,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn864,True,172.0,171.0,253.5246,0.6784351498828911
an218,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn220,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn417,True,172.0,171.0,253.5246,0.6784351498828911
bn217,True,172.0,171.0,253.5246,0.6784351498828911
an139,False,67.0,67.0,99.3342,0.6744907594765952
an49,False,23.0,23.0,34.099799999999995,0.6744907594765953
an134,False,23.0,23.0,34.099799999999995,0.6744907594765953
an119,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn465,True,172.0,171.0,253.5246,0.6784351498828911
bn1007,True,172.0,171.0,253.5246,0.6784351498828911
bn874,True,172.0,171.0,253.5246,0.6784351498828911
dn686,True,172.0,171.0,253.5246,0.6784351498828911
an110,False,23.0,23.0,34.099799999999995,0.6744907594765953
cr32iblsw2,False,1.0,1.0,1.4826,0.6744907594765952
an220,False,32.0,32.0,47.4432,0.6744907594765952
dn882,True,172.0,171.0,253.5246,0.6784351498828911
bn427,True,172.0,171.0,253.5246,0.6784351498828911
dn937,True,172.0,171.0,253.5246,0.6784351498828911
an480,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn431,True,172.0,171.0,253.5246,0.6784351498828911
dn590,True,172.0,171.0,253.5246,0.6784351498828911
an190,False,23.0,23.0,34.099799999999995,0.6744907594765953
dn831,True,172.0,171.0,253.5246,0.6784351498828911
bn199,False,124.5,124.5,184.5837,0.6744907594765952
an181,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn457,True,172.0,171.0,253.5246,0.6784351498828911
an442,False,47.0,47.0,69.6822,0.6744907594765952
bn19,False,50.0,50.0,74.13,0.6744907594765952
an47,False,23.0,23.0,34.099799999999995,0.6744907594765953
an469,False,24.0,24.0,35.5824,0.6744907594765952
bn966,True,172.0,171.0,253.5246,0.6784351498828911
bn555,True,172.0,171.0,253.5246,0.6784351498828911
dn374,True,172.0,171.0,253.5246,0.6784351498828911
an507,False,30.0,30.0,44.477999999999994,0.6744907594765952
bn172,True,172.0,171.0,253.5246,0.6784351498828911
dn372,True,172.0,171.0,253.5246,0.6784351498828911
an77,False,43.0,43.0,63.751799999999996,0.6744907594765952
dn742,True,172.0,171.0,253.5246,0.6784351498828911
bn379,True,172.0,171.0,253.5246,0.6784351498828911
bn585,True,172.0,171.0,253.5246,0.6784351498828911
bn802,True,172.0,171.0,253.5246,0.6784351498828911
bn383,False,900.0,900.0,1334.34,0.6744907594765952
an148,False,30.0,30.0,44.477999999999994,0.6744907594765952
bn510,True,172.0,171.0,253.5246,0.6784351498828911
bn598,True,172.0,171.0,253.5246,0.6784351498828911
dn400,True,172.0,171.0,253.5246,0.6784351498828911
cr14iblsw1,False,1.0,1.0,1.4826,0.6744907594765952
en226,False,3603.0,1.0,1.4826,2430.1902063941725
bn230,False,23.0,23.0,34.099799999999995,0.6744907594765953
dn651,True,172.0,171.0,253.5246,0.6784351498828911
an155,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn574,True,172.0,171.0,253.5246,0.6784351498828911
dn908,True,172.0,171.0,253.5246,0.6784351498828911
bn493,True,172.0,171.0,253.5246,0.6784351498828911
cr8iblsw2,False,1.0,1.0,1.4826,0.6744907594765952
an132,False,23.0,23.0,34.099799999999995,0.6744907594765953
an474,False,24.0,24.0,35.5824,0.6744907594765952
an990,False,30.0,30.0,44.477999999999994,0.6744907594765952
dn392,True,172.0,171.0,253.5246,0.6784351498828911
an72,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn573,True,172.0,171.0,253.5246,0.6784351498828911
an362,False,23.0,23.0,34.099799999999995,0.6744907594765953
ar28iblsw2,True,172.0,171.0,253.5246,0.6784351498828911
cr23iblsw1,False,1.0,1.0,1.4826,0.6744907594765952
an280,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn190,False,23.0,23.0,34.099799999999995,0.6744907594765953
an234,False,23.0,23.0,34.099799999999995,0.6744907594765953
dn540,True,172.0,171.0,253.5246,0.6784351498828911
en360,False,3603.0,1.0,1.4826,2430.1902063941725
an212,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn795,True,172.0,171.0,253.5246,0.6784351498828911
an180,False,19.0,19.0,28.1694,0.6744907594765952
dn644,True,172.0,171.0,253.5246,0.6784351498828911
cr10iblsw2,False,1.0,1.0,1.4826,0.6744907594765952
bn338,True,172.0,171.0,253.5246,0.6784351498828911
an606,False,23.0,23.0,34.099799999999995,0.6744907594765953
bn335,True,172.0,171.0,253.5246,0.6784351498828911
dn37,True,172.0,171.0,253.5246,0.6784351498828911
bn256,False,23.0,23.0,34.099799999999995,0.6744907594765953
en359,False,3603.0,1.0,1.4826,2430.1902063941725
bn106,True,172.0,171.0,253.5246,0.6784351498828911
bn219,True,172.0,171.0,253.5246,0.6784351498828911
